અકળ	ઓળખી ન શકાય એવા
ચોરાશીમાં અબળખા	લખ ચોરાશીમાં ભટકવું
ચ્યવતા	છેદાવું, ભગવાન પોતે જ જીવ ઈશ્વર રૂપે થતા નથી
ચ્યવીને	છેદાઈને, ભગવાન પોતે જ જીવ ઈશ્વર રૂપે થતા નથી
છળિયા	ચાલક, હોશિયાર
છાનુમુનો	શાંત
છાંડી 	ચુકી જવાઈ, સમય જતો રહેવો 
છેદાય	કપાય
ખેલવણું	રમકડું
જન્માંતરે	અનેક જન્મે
જમવારો	આખી જિંદગી
જમશિર	પાણીથી સુકાઈ જાય એવી વનસ્પતિ
જવાસો	એક છોડનું નામ
જંગમ	હરતું-ફરતું
જંતરડો	ખુબ ગતિથી પથ્થર ફેંકવા માટેનું સાધન
જાકારો	ધિક્કાર, તિરસ્કાર
જાગ્રત	જગત સંબંધી વિવેક હોય તેને જાગ્રત અવસ્થા કહેવાય
જાડી ફાટવી	બોલવાની હિંમત હોવી
જાપરો	વખાણવું
જિતેંદ્રિય	જેને દશ ઇન્દ્રિય અને મન જીત્યું હોય તે
જીવનાં કમળ અવળાં હતા ઇ સવળાં કર્યા	પોતાના દોષ દેખાણા એ સવળા કમળ અને બીજાના દોષ દેખાય એ અવળા કમળ
જીવસત્તા	જ્ઞાને કરીને જેનો જીવ બળનેપામ્યો હોય તે
જીવિતવ્ય	જીવન
જુક્તિ	યુક્તિ
જુતે	જોડાય
જુમેર	હાહાકાર મચાવી દીધો
જૂજવી	વિવિધ પ્રકારનું
જૈમિનીની	ઋષિનું નામ 
 જોગ 	યોગ, સંબંધ
જોગ ક્રિયા	યોગ્ય, માણસ માણસની રીતે વર્તે ઈ જોગ ક્રિયા
જોજન	ચાર ગાઉ ગણાતું જૂનું અંતર આશરે તેર કિલોમીટર
જોડડિયા	એકબીજા સાથે, સમૂહ
જોડિયા પારેવા	સફેદ કબુતર જે જુદા જ ન પડે
જોબન	યુવાની
જોરાવરે	પરાણે, ધરાર
જોળીયું પારેવું	સફેદ કબુતર જે જુદા જ ન પડે
જ્ઞાન શક્તિ	જીવ-ઈશ્વર તમામને પદાર્થનું જ્ઞાન આપવાની શક્તિ
જ્ઞાનપ્રલય	ગમે તેવું શ્રેષ્ઠ જ્ઞાન થવા છતાંય ભગવાન અને ભક્ત પાસે દાસભાવે રહેવું તે
જ્ઞાનયજ્ઞ	પાછી વૃત્તિ વાળીને ભગવાન સંબંધી ક્રિયા કરવી તે
જ્ઞાનશક્તિ	જીવ-ઈશ્વર તમામને પદાર્થનું જ્ઞાન આપવાની શક્તિ
ઝકોળ	આનંદ
ઝપેટામાં	અનીતિમા
ઝમેર	હાહાકાર મચાવી દીધો
ઝરે	પડે
ઝંખતો ઝંખતો	જે તે વિષય, પદાર્થ કે સંબંધીનું રટણ કરતા કરતા
ઝાપટું	થોડીવાર માટે વરસાદ આવવો
ઝાપડી	હલકા વર્ણની સ્ત્રી 
ઝાંઝવાના પાણી	સખત તડકામાં દુર દુર પાણી દેખાતા હોય પણ હોય નહિ. એ પાણીનું નામ.
ઝાંપડા	ગામના મુખ્ય દરવાજા સુધી
ઝાંપે	ગામના દરવાજે
ઝાંપે ચોખા મુકે	દરેકને જમાડવા
ટપર્ય	માથામાં લાગે, કાં દેશકાળ આવે
ટપર્યમાં ખાવાનું	માથામાં લાગવાનું, નુકશાન થવાનું
ટૂંટિયું	રોગનું નામ
ટેટો	વડનું ફળ
ટોડા સારવા	પાયામાં નાખવામાં આવતા પથ્થર
ઠગારો	છેતરનાર
ઠઠીરો	ઠાઠમાઠ, સુવિધાઓ
ઠબલાય	આબરૂ વગરનું થવું
ઠમઠોરે	દંડ કરવો, શિક્ષા કરવી
ઠરવાનું ઠેકાણું	સ્થિર થવાનું સ્થળ
ઠસાઈ	સંપૂર્ણથવો
ઠા વિનાનો	જેનું કઈ નક્કી ન હોય
ઠાલો ઠાલો બળી મરે	કોઈ બે વ્યક્તિની પ્રગતિ જોઇને સહન ન થાય
ઠેઠ	અંતિમ ધ્યેય સુધી
ઠેપ	સરળ થઇ ગયું, ફાવી જવું
ઠેબું	ઠોકર
ઠોળિયો	મશ્કરી કરનાર
ડબકા	ડૂબકી
ડસકા	રડતાં રહી રહીને જોરથી ખેંચાતો શ્વાસ
ડંસ 	જીવમાં ખરેટો પડવો, જીવમાં એની આંટી પડવી
ડાકલુ	દેવદેવીઓને પ્રસન્ન કરવા ભૂવા ધૂણતા હોય ત્યારે વગાડાતું એક નાનું વાદ્ય, ડમરુ, ડુગડુગિયું
ડાગલો	જોકર, હાસ્ય કલાકાર
ડાટો દઈ દેવો	બંધ કરી દેવું
ડાઠું	અંશ
ડાંગુ	એક પ્રકારની લાકડી
ડીંડવાણું	ઉપાધી
 ડોડ 	ડહાપણ
ડોળિયા	ભોવાયો
ઢુંસા	બાજરાના મસળાઈ ગયા પછીના ફોતરા, નકામી વસ્તુ
ઢૂંસા	બાજરાના મસળાઈ ગયા પછીના ફોતરા, નકામી વસ્તુ
ઢૂંસાની પાલી	અનાજના કાઢેલ કચરાને માપવાનું સાધન
ઢોર	પશુ
ઢોલારી	કોઈનું મૃત્યુ થાય ત્યારે રડવા માટે બોલાવેલ ભાડુતી માણસ
તખત	સિંહાસન
તત્ત્વમસી	તત્ એટલે તે, ત્વમ્ એટલે તુ, અસી એટલે છો
તદાકાર	તેના જેવા જ આકારનું, તેના જેવું જ, એક સરખી આકૃતિવાળું
તદાત્મક	એના જેવા ગુણ પ્રાપ્ત કરવા
તદાશ્રિત	તેને આશરેલું
 તમ 	અંધારું
તમ બી બુટ્ટી, હમ બી બુટ્ટી, બુટંબટા	એકબીજા સાથે બરોબરીયાપણું
તમોગુણ	માયાના ત્રણ ગુણમાનો એક ગુણ, આળસ અને પ્રમાદ જેનું કાર્ય છે
તરકડી	મુસલમાન સ્ત્રીનું નામ
તરગાળો	ભોવાયો
તરણા	ઘાસ
તરોવડ	સરખામણી
તલ તુંબડી	તલ ભરેલ તુંબડીમાંથી એક એક તલ લઈને શબ્દ ગોખવા એ
તલપ	તીવ્ર ઈચ્છા
તળાવડી	તળાવ
તંતી	મનની માનેલી માન્યતા અથવા ગ્રંથિ
તાગ લેવા	માપ કાઢવું, આશય જાણવો 
તાગડધિન્ના	મોજમઝા, ખાવુંપીવું અને મોજ કરવી એ
તાગો	અપાર, ગણી ન શકાય
તાણી તાણીને	ખુબજ આસક્તિથી
તાણોવાણો	ગૂંથાયેલ
તાબેદારી	ગુલામી
તામિસ્ર	નરક
તારતમ્ય	પાત્ર પ્રમાણે ઓછાવત્તાપણું
 તાલ 	આસક્તિ, રાગ
તાંબિયા	તાંબાનો પૈસો
તુર્યપદ	જીવની ચોથી અવસ્થા છે
તુંબડું	દુધીના વેલા જેવું ટેટી જેવું મોટું એક વેલામાં થતું ફળ જેનાથી પાણીમાં તારી શકાય. સંતોને પાણી પીવા માટે પણ ઉપયોગમાં થાય 
તૃણ	ખળ, ઘાસ
તેજોમય	પ્રકાશેયુક્ત
તૈજસાભિમાની	રજોગુણ પ્રધાનપણે વર્તે ત્યારે જીવનુ નામ
તોછડાઇ	વિવેક વગરનું
ત્રાગુ	ગરજ
ત્રાટક	યૌગિક ક્રિયા
ત્રેવડ	તાકાત
થરેરી	થરથરાટ, બીક, ભય, દુઃખ
થોથાપોથા	સામાન્ય પુસ્તકો
દમઘોષના દીકરા	કામક્રોધાદિક, દમઘોષ નામનો એક રાજા
દમવું	તપ કરવું
દલમાં	હૃદયમાં
દશ વીશ ગાવની મજલ કરવી	એક દિવસની મુસાફરી કરી રાતે મુકામ કરવો પડે તે
દશેથી નિવેદ ન જારવા	દુરથી ભોગ ન ધરાવવો
દાખડા	પ્રયત્ન
દાઝ્ય	ખીજ
દાવાનળ	જંગલમાં પરસ્પર વનસ્પતિ ઘસાઈને સળગતો અગ્નિ
દિવાળું	ખોટ ખાવી, વેવારમાં ડૂબી જવું
દિવ્ય	માયાપરનું
 દીન 	ગરીબ
ખોખીડો	અભિમાન
દુર્ભિક્ષ	દુષ્કાળ
દુષ્ક્રિત	કઠીન, નબળા કર્મ, પાપ
દુંદુંભિ નગારા	દેવલોકના નગારા
સંસર્ગ	યોગ 
દૃઢાવ	દ્રઢતા, ઠેરાવ
દૃષ્ટા	આત્મા
દૃશ્ય	દેહ
દે મુળીયા કાંધમાં 	સમજ્યા વિના સંસારિક પ્રવૃત્તિ કર્યા જ કરવી
 દેન 	અગ્નિ સંસ્કાર
દેશકાળ	દેશ, કાળ, ક્રિયા, સંગ, મંત્ર, શાસ્ત્ર, દીક્ષા અને ધ્યાન
દેશાટન	પોતાના કે બહારના દેશોમાં પ્રવાસ કરવો એ
પલોટ્યું	શરીરને મજબુત કરવા મહેનત કરવી
વળોટે	ત્યાગ કરવો
દેહાત્મબુદ્ધિ	દેહને વિષે અને દેહના સંબંધીમા જે પોતાપણાની બુદ્ધિ
દૈવી સંજ્ઞા	દૈવી સર્ગ
દોકડા	પૈસા
દોયલા દનને	અતિ કષ્ટથી પ્રાપ્ત થયેલ
દોષાધ્યાન	દોષ દ્રષ્ટિ કરવી
દ્રોહ	સારાને નરસો કહેવો અને નરસાને સારો કહેવો
ધખે	વઢે, ખીજાય
ધડો	કિમંત
ધનોત પનોત	નાશ થઇ જવું
ધબધબાવવો	મારવો
 ધર 	બળદને ગાડે જોડવા માટેનો અવાજ એને ધર કહેવાય. એમ બોલે એટલે સારા બળદ તરત જ કામે લાગી જાય (ગાડે જુતી જાય).
ધરતલ	ધારણ કરનાર
ધરવ	તૃપ્તિ
ધર્મકાંટે	નિતીરૂપી કાંટો (વજન કાંટો)
ધર્માદિક ખટ્‌કર્મ	છ કર્મ (અધ્યયન, અધ્યાપન, યજન, યાજન, દાન અને પ્રતીગ્રહ)
 ધાન 	અનાજ 
ધુંધવ્યા	અંદર અંદર બળવું
ધુંધુબાજ	બધા પ્રકારના કાર્ય અને સેવા
ધુંવાડાના બાચકા	ધુમાડાના કોથળા
ધૂંધલીમલ	ગોકર્ણનો એ નામનો ભાઈ
ધોખો	ખોટું લાગવું
ધોડ	ભગવાન સિવાય બીજે આસ્થા
ધોતી ક્રિયા	યૌગિક ક્રિયા
ધોરિયો	ખેતરમાં પાકને પાણી પીવડાવવા માટે જમીનમાં કરેલ રસ્તો
ધોસરાં સામું તાણીએ	ગાડાનો આગળનો ભાગ, ગાડાના દ્રષ્ટાંતથી અહીંયા ભગવાન અને સાધુ કહે તેમ કરવાનુ છે.
ધ્યાતા	જીવ
ધ્રો	ધ્રોકડ, ઘાસનો પ્રકાર
નકટા બોચા	લાજ, શરમ વગરના માણસો
નકટો	બેશરમ
નકર ખડ વઢુંને ગળ ચોપડીના ભાતા હોય	ઘાસ કાપવાવાળાને  ઘી-ગોળનું ભાતું હોય 
નગડ	એક વનસ્પતિનું નામ 
 નટ 	અલગ અલગ વેશ ભજવનાર કલાકાર
નઠારું	નકામું
નફકરા	બેપરવાઈ; બિનકાળજી, બેદરકાર
નભાડવો	નિભાવવો
નયનગોચર	આંખની સામે
નરપુર	મૃત્યુલોક
નરોવા કુંજરોવા	કાં માણસ ને કાં હાથી
નવેય દ્વારે નરક ઝરે છે	શરીરના નવ દરવાજા; નાક, કાન, આંખ, શિશ્ન, ગુદા, મો
નસ્તર	બારીક કામ કરવા માટેનું નાનું હથિયાર
નાગપુર	પાતાળલોક
નાગે પાયે દક્ષિણમાં જાય	ચંપલ પહેર્યા વિના જમપુરીમાં જાય
નાડા છોડી	વ્યર્થ સમય
નાદારપણું	પોતામાં કાંઈ નથી પણ બીજાને અધિક માને એ
નાસ્તિક	ભગવાન નથી એમ માનનાર
નાંગળ	પાયો, આધાર
નિ’મનોખ	નિમણુક
નિકંદન	વિનાશ, જળમૂળમાંથી ઉખેડી નાખવું
નિગ્રહ	સંયમ
નિજમન	આત્મા
નિદિધ્યાસ	દરરોજ અભ્યાસ
નિમગ્ન	કોઈપણમાં એકમેક બની જાય, ડૂબી જાય, એકરસ થઇ જાય
નિમિષમાત્ર	આંખનો પલકારો, આંખનું મટકું
નિયંતા	સંચાલક, ઉપરી, નિયામક
નિરન્ન	જેને અન્નનો આહાર નથી એ
નિરભે	નિર્ભય
નિરર્થક	અર્થ વિનાનું
નિરાવરણ દ્રષ્ટિ	પૃથ્વી, જળ, તેજ, વાયુ, આકાશ, મહતત્ત્વ, પ્રધાનપુરુષ અને પ્રકૃતિ પુરુષ આ આઠ આવરણથી પર દ્રષ્ટિ
નિરુત્થાનપણે	જેમા કોઈપણ પ્રકારનો સંશય ના રહે
નિરોધ	સંયમ
નિર્ગુણ	માયાના ત્રણ ગુણ (સત્વગુણ, રજોગુણ અને તમોગુણ)થી રહિત
નિર્ધણિયો	ધન વગરનો, પૈસા વગરનો
નિર્બંધ	જેને કોઈ પ્રકારનું બંધન નથી 
નિર્બીજયોગ	ઉપાસના રહિત યોગ
નિર્બીજસાંખ્ય	ઉપાસના રહિત સાંખ્ય 
નિર્મત્સર	મત્સર વિનાનો
નિર્લેપ	જેને કોઇપણ પ્રકારના સંગની અસર ન થાય, માયાનો લેપ ન લાગે તે
નિર્વાસનિક	વાસનાએ રહિત
નિર્વિકલ્પ	વિકલ્પ રહિત
નિર્વિકાર	વિકાર વિનાનું
વિકાર	ઇન્દ્રિયું ઉપર વિષયોનો પ્રભાવ
નિર્વિશેષ	અનાદિ પાંચ તત્ત્વમાંથી સૃષ્ટિ પૂર્વની મૂળ માયા
નિર્વેદ	વૈરાગ્ય
નિસ્પૃહી	કોઇપણ પ્રકારની ઈચ્છાએ રહિત
નીમનોખ	નિમણુંક
નેતિ નેતિ	અંત વિનાનું, અપાર
નેતિ-ધોતિ	યૌગીક ક્રિયા
નૈમિષારણ્ય ક્ષેત્ર 	જ્યાં એકાંતિક સત્પુરૂષ રહેતા હોય તે સ્થળ, જ્યાં ઇન્દ્રિયુંની ધારા ઘસાઈને બુંઠ્ઠી થાય તે સ્થળ
નોળી ક્રિયા	યૌગીક ક્રિયા
નૌત્તમ નગીનો	નવા ઘરેણા
ઝોંટ	આડોડાઈ કરનાર, અવળચંડા
ન્યારો	અલગ
ન્યાલ	કૃતાર્થ
પડિયા	પાંદડાનો વાટકો
પતર	સંતોને જમવાનું લાકડાનું પાત્ર
પથ્ય	સમજમાં આવવું
પરગણા	અમુક નક્કી કરેલ ગામનો વિસ્તાર
પરસસે	સ્પર્શ કરવાથી
પરાત્પર	પરથી પર
પરાભવ	દુ:ખ; પીડાં, પરાજય
પરાવાણી	ભગવાનનું અક્ષરધામ, એની ક્રિયા, એનાં ચરિત્ર, એનું વર્ણન
પરિચ્છિન્ન	માયિકભાવ, પોતા જેવા જાણવા તે
પરિતાપ	પશ્ચાત્તાપ, પસ્તાવો, સંતાપ
પરું	બાજુમાં
પરોણલો	મહેમાન
પલાંગવો	ઊંટ કે ઘોડા ઉપર કેમ ચડવાની રીત
પળાશવી	પાણીનું પુર આવવાથી નમી જાય એવી વનસ્પતિ
 પંચ 	કોઇપણ પ્રકારનું સમાધાન કરવા નક્કી કરેલ પાંચ વ્યક્તિઓ
પંચતનમાત્રા	પંચવિષય, શબ્દ, સ્પર્શ, રૂપ, રસ અને ગંધ
પંચવર્તમાન	પાંચ વર્તમાન; નિષ્કામ,નિર્લોભ, નિઃસ્વાદ, નિર્માન અને નિઃસ્નેહ
પાજીપળાવની છાયામાં	વિમુખ કે બરોબરીયાથી ન દબાવું
પાટો ગોઠવો	દવા લાગુ પડવી
પાડા આગળ જંતર વગાડ્યા જેવું છે	જેને કઈ ખબર નથી પડતી તેની આગળ વાત કરવી
પાડાખાર	પશુઓમાં પાડો ખીજાય એને પાડા ખાર કહેવાય
પાદર	ગામડામાં પ્રવેશદ્વાર પાસેની ખુલ્લી જગ્યા
પાદ્મકલ્પ	૪ અબજ ૩૨ કરોડ વર્ષ-વિરાટ બ્રહ્માના પ્રથમ પરાર્ધનો અંતિમ દિવસ
પામર	કેવળ વિષયમાં જ બંધાયેલો જીવ, તુચ્છ
પારખું	કસોટી
 જાર 	જુવાર
પાલવે	ઊગવું, થવું
પાલી	એક માપ
પાશેર	વજનનું એક માપ (૨૫૦ ગ્રામ)
પાંચશે બખ્તરિયા	પાંચસો સૈનિક
પાંભડી	ધાબળી; કામળી
પિછાણ	ઓળખાણ
પીપળની ટેટી	પીપરના ઝાડ ઉપર થતું ફળ
પીલું ટાણે ચાંચ પાકી છે	કહેવત છે, "સમય આવ્યે કામ ન આવે એ"
પીંખડી	કાંડું
પીંગળા	પ્રાણવાહક નાળી, જમણા નસકોરામાંથી નીકળતો વાયુ પિંગલા નાળીનો છે. તેમાં સૂર્યનો વાસ મનાય છે.
પીંછડા	શેરડીના સાંઠામાં ઉપરનો ભાગ એટલે પીછડું. જેમાં રસ ન હોય
પીંડ	શરીર
પીંડાકાશ 	શરીરમાં રહેલ પોલાકર
પીંડીકરણ	ભેગું કરવું
પુખરાજ	એક જાતનું રત્ન, ગુરુ નામના ગ્રહનું નંગ કહેવાય જે પીળો હોય છે.
પુરબિયો ભગવાન	પૂર્વમાં જે પ્રગટ થયા છે એવા ભગવાન
પુંછલેલ	ઉભું ન થઇ શકે એવું પ્રાણી
પુંસલેલ	ઉભું ન થઇ શકે એવું પ્રાણી
પૃથ્વીનું વેજું	પૃથ્વીનું નિશાન
પોકરાણ	મૃત્યુ પામેલાની પાછળ ઊચે અવાજે રડવું 
 પોર 	આવતા વર્ષે
પોશવાળો	ધનવાન
પોષ્યવર્ગ	પરિવાર
પ્રકૃતિપુરુષ	સ્ત્રી-પુરુષ, મૂળ માયા, અક્ષરધામનો મુક્ત
પ્રકૃતિ	સ્ત્રી, સ્વભાવ, કુદરતી વાતાવરણ
પ્રણાલિકા 	પૂર્વથી ચાલી આવતી રીત 
પ્રતિપક્ષી	વિરોધી
પ્રતિપાદન 	સ્થાપન
પ્રતિલોમ વૃત્તિ	પાછીવૃત્તિ
પ્રતીતિ	વિશ્વાસ, શ્રદ્ધા
પ્રપંચ	સંસાર, માયા
પ્રભુતાઈ	મોટાઈ
પ્રયોજન	જરૂરિયાત
પ્રાકૃત દૃષ્ટિવાળા	લૌકિક નજરવાળા
પ્રાજ્ઞાભિમાની	તમોગુણ પ્રધાનપણે વર્તે ત્યારે જીવનુ નામ
ફજેત	અપમાન
ફજેતને ફાળકે	આ લોકના સુખમાં
ફાફડ	નાશવંત
ફિરંગીની તોપું	યુદ્ધ માટેનું લડાયક યંત્ર
ફીકું	ઝાંખું 
ફીંદી	નાશ 
ફુરસદ  	સમય
ફૂહડ	બેડોળ કે ગોબરી સ્ત્રી
બકાલી	શાકભાજી વેચનાર
બખતરિયા	રખેવાળ, સિપાહી, સૈનિક
બખ્તરિયા	રખેવાળ, સિપાહી, સૈનિક
બજર	સૂંઘવા માટેનો તમાકુનો બારીક ભૂકો, છીંકણી
બડભાગ	ગાંજામાંથી બનાવેલ કેફી પીણું
બડવાલ	ખરાબો
 બડો 	લાકડી
 પાડ 	હરોળમા
બપોરિયા	એક પ્રકારના ફટાકડા
બરોબરિયા	સમોવડિયો, સમાન વયના, સરખે સરખા
બલિષ્ટ	બળવાન
બલુન	વિમાન
બસ્તી	યૌગિક ક્રિયા
બહબહતો	ગંધાતો હોય 
બળતણ	ચૂલામાં સળગાવવા માટેના લાકડા
બળદનાં મોરડાની ગાંઠ	પશુને મોઢે બાંધવાનું દોરડાની ગાંઠ
બળિયા	બળવાળા
બાચકાં	કોથળો
બાજંદજી	રાજાનું નામ 
બાજંદા	શુરવીર
બાજી પડે	ચોંટી જવું
બાજોડાબાજોડ	ઘોડાની દોડનો એક ઝડપી પ્રકાર
બાધિતાનુવૃતિ	અંતરથી કોઈ પ્રકારનું બંધન નથી છતાંય તેનું સ્મરણ એનું નામ
બાળોતિયા	નાના બાળકને પહેરવાના કપડા
બિયાર બગામણા બોર	બોર બહારથી પાકા અને લાલ દેખાય પણ અંદરથી હોય કાચા
વૂંઠે મેયે કાળ	વરસાદ હોવા છતાં દુષ્કાળ
બીડાઇ	બંધ થવું
બુદબુદા	પાણીમાં થતા પરપોટા 
બુદ્ધિયોગ	ભગવાનને સમજી શકીએ એવી બુદ્ધિ
બૂગદો	ખરાબો, વસ્તુ
બૂડવાનો	ડૂબવાનો
બૂડાડે	ડુબાડે
બે પરવાઇ	બેદરકાર, અનાદર, ઉપેક્ષા
બેડિયા	એક બેડિયું એટલે ૩૨ મણ વજન
બેડિયું ગાડું 	ભરેલુ ગાડુ
બેપરવાઈ	બેદરકાર, અનાદર, ઉપેક્ષા
બેલી	ખેતી ના સાધનનું નામ બેલી, જે હાંકવાથી મોલ ઉભો રહે અને ખડ નીકળી જાય
બ્રહ્મકુદાળ	મહિમાને ઓથે અધર્મ આચરનાર
બ્રહ્મબુદ્ધિ	ત્રણ દેહથી પરની બુદ્ધિ, ભગવાનને ઓળખવાની બુદ્ધિ
બ્રહ્મમોલ	અક્ષરધામ
બ્રહ્મરંધ્ર	મનુષ્યના મસ્તકમાં માનેલું એક છિદ્ર, ત્યાંથી પ્રાણ જતાં બ્રહ્મજ્ઞાન-બ્રહ્મલોક મળે
બ્રહ્મવિદ્યા	જેનાથી બ્રહ્મ અને પરબ્રહ્મની ઓળખાણ થાય એવું જ્ઞાન
બ્રહ્મવેત્તા	બ્રહ્મને જાણનાર
બ્રહ્માંડાકાશ	બ્રહ્માંડમા/જગતમાં રહેલ પોલકાર
પરપણું	અધિક્પણું સમજવું, પોતાની પાસે હોય છતાંય ના સમજી શકે
ભણેણીને	ભયથી
ભદ્રાહણ	ભેટ
ભરખી	કરડી જાય, ખાઈ જાય, કલ્યાણના માર્ગમાંથી પાડી દ્યે 
ભરતિયું ગાડું	માલ ભરેલ ગાડુ
ભરથાર	પતિ, સાથીદાર, પ્રિયતમ
ભવજળ	સંસાર સાગર
ભવાડા	કૌભાંડ, હલકા કાર્ય
ભાગસી	ચોરને દંડ દેવા માટેની કોટડી
ભાઠા 	શરીરમાં ઘાવ, ગુમડું કે બહારથી દેખાતો બગાડ
 ભાણા 	જમવાનું વાસણ
 ભાતું 	ભોજન
ભાત્ય	વિવિધ પ્રકારનું
ભાનુ-રજની	સૂર્ય અને રાત્રી
ભાભડ ભૂતડા	કોઈને ના ગમે એવા, સામાન્ય
ભાભડ ભૂતિયા	કોઈને ના ગમે એવા, સામાન્ય
ભાભળભૂતિયા	કોઈને ના ગમે એવા, સામાન્ય
ભાંડ	હલકા વર્ણના માણસો
ભાંભરડા	ચીસો પાડવી
ભીડો	સમૂહજીવન
ભીસા	વાળંદ, વાળ કાપનાર
ભીંજાય	પલળવું
ભુંડું	ખરાબ
ભૂખની બારસ 	આસક્તિ 
ભૂખલા	ગરીબ
ભૂંગળ	અકે જાતનું વાયુવાદ્ય
ભૃકુટીવિલાસ	નેણનો કટાક્ષ
ભેખડ્ય	નદી, સમુદ્ર વગેરેનો પથ્થરવાળો ઊભો કાંઠાનો ખડક કે માટી વગેરેની ઊભી કરાડ
ભેટંભેટા	સાક્ષાત મળવું, સામસામા ભેટવું
ભૈરવ	ભૈરવ એ નામનો સંપૂર્ણ રાગ
ભોક્તા	ભોગવનાર
ભોણ	તિરાડ, દર
ભોફીંડુ	ઝાડો, ટૂંકો બહુ હરીફરી ન શકે તેવો સાપ
ભોંઠા	શરમ આવવી, શરમિંદા
ભોંફીંડુ	ઝાડો, ટૂંકો બહુ હરીફરી ન શકે તેવો સાપ
ભ્રકૂટિ વિલાસ	નેણનો કટાક્ષ
ભ્રષ્ટવાડો	પોતાનો દોષ
 ભ્રાંતિ 	ભ્રમ, ભ્રમણા
મગજમેડ	પાગલ
મગદુર	ગજુ, શક્તિ
મગિયા દીવા	નાનાંમાં નાનો દીવો
મજકુર	રહસ્ય
મજીઠી	ઔષધિ
મઠાકાશ	મઠ/ઘરની અંદરની પોલાણવાળી ખાલી જગ્યા
 મડા 	મડદું
 મડાને 	મડદાને
 મડાની 	મડદાની
 મડાં 	મડદા, શબ
મઢી	નાનું મકાન, દેવસ્થાન, જેને ભૂંડો ઘાટ ન થાતો હોય તે
મત્સર	કોઈ એક વ્યક્તિ બીજી વ્યક્તિને કઈ પદાર્થ આપે એમાં ત્રીજી વ્યક્તિને પોતાની રીતે દુઃખ થાય તે
મધ્યાન્હે	બપોર
મનવાર	સો વહાણ ભરાય એવડું મોટું લશ્કરી વહાણ
મનવાર્ય	સો વહાણ ભરાય એવડું મોટું લશ્કરી વહાણ
મનસુબો	ઇચ્છા, મરજી
મનસૂબા	ઇચ્છા, મરજી
મનોમય ચક્ર	મન
ધારા 	દશ ઇન્દ્રિયો
મનોમયબ્રહ્મ	પાંચ સગુણ બ્રહ્મમાનો એક બ્રહ્મ-મન
મભમ	નામ લીધા વિના
મરોડે	રોકે ટોકે
મલક	દુનિયા
મલિન	ખરાબ
મશકુર	રહસ્ય
મહામોહ	પ્રકૃતિ અને તેના કાર્યમાં આસક્તિ, સંસારીમા આસક્તિ
મા’તમ	મહિમા 
માકડું ઢોર	રાતા (લાલ) કલરનું વાંદરું
માકોલિયા	આનંદથી મસ્ત પણે ફરવું
 માગ 	રસ્તો
માગેલો ઢાંઢો	ઉછીની લીધેલ સંપતિ
માતમ	માહાત્મ્ય, મહિમા
માભો	મર્યાદા
માયાના સર્ગરૂપી કપટ	માયાના ત્રણ ગુણ; સત્વગુણ, રજોગુણ અને તમોગુણ
માયિક	માયામય, લૌકિક
માલમી	જાણકાર
માંકડાનું મોઢું	વાંદરાનું મો
મિથ્યા	અસત્ય
મુક્તાફળ	મોતી
મુખત્યારી	સાક્ષી
મુજરો	નાચ-ગાન
મુડદાલ દેહ	નકામું અને નાશવંત
મુદ્દો 	સાર 
મુમુક્ષુ	મોક્ષની ઈચ્છાવાળો
મુવાળા	વાળ
મુશળ	લાકડીથી વધારે જાડાઈનું એક સાધન
મૂડી	રૂપિયા
મૂઢ	મૂર્ખ
મૂર્છાવસ્થા	બેશુદ્ધ
મૂર્તિનું ઘરું	મૂર્તિની ફ્રેમ
મૂવાના મઢ	દેહના અંત સુધી
મૂળ વિનાનું ઢોકળું	મનુષ્ય દેહ
મે’રબાની	મહેરબાની
મેડી	અગાસી
મેણું	લાગણી દુઃખાય તેવું વચન, વાંકું બોલીને સંભળાવવું, કરડું બોલવું
મેમણ	મુસ્લિમ
મેહા	વરસાદ
મો’બત	શરમ
મોઇ દાંડયે	એક પ્રાચીન રમત
મોકળી	નિયમમાં ન રહે, ઇન્દ્રિય જીતવાનો કાબુ ન હોય
મોક્ષકાળ	સ્વભાવથી રહિત
મોક્ષની લેન	મોક્ષ નો રસ્તો
મૂમતી	મો આગળ બાંધવાનું કપડું
મોણ	કોઈ ખાદ્ય વસ્તુને સારી બનાવવા માટે જરૂરી સામગ્રી
મોથ્ય	શું સારુ કર્યું
મોભ	ઘરની આડસરની ઉપરનો ભાગ
મોભાર	બે ઢાળવાળા મકાનનો વચ્ચેનો ભાગ
મોર્ય	પહેલા
 મોહ 	આસક્તિ
 ક્ષય 	આસક્તિનો નાશ
યત્કિંચિત્	તમામ પ્રકારનું, જરા પણ; જરાક, અલ્પ
યત્કિંચિંત	તમામ પ્રકારનું, જરા પણ; જરાક, અલ્પ
યોગભ્રષ્ટ	યોગ સાધનામાંથી ચલાયમાન થયેલ
યોગમાયા	ભગવાનની શક્તિ
રખોલિયા	રખેવાળ, ચોકીદાર
રખોલું	રક્ષણ
રજોગુણ	માયાના ત્રણ ગુણમાનો એક ગુણ, કામ ક્રોધાદિક એનું કાર્ય
રણશીંગુ	રણમાં લડાઈ વખતે સૈનિકોને શૂરતા ચડાવવાનું વાદ્ય
રતિવા	રતિ એટલે એક નાનામાં નાનું માપ છે. વજન માપવા માટેનું
 રત્ય 	ઋતુ, મોસમ
