અકળ	ઓળખી ન શકાય એવા
આકડાના તુર	આકંડાનું સુકાઈ ગયેલ બી જે તૂટતા જ હવામાં ઉડી જાય, નાશવંત
આકરું	અઘરું
આઘી	દુર 
આઘો પાછો	દુર અને નજીક
આજ્ઞાચક્ર	શરીરમાંનાં છ ચક્રોમાનું એક ચક્ર
આઠો પહોર	દિવસ-રાત્રી
આઠોપોર	દિવસ-રાત્રી
આડંબર	ખોટો દેખાવ
આડો અવળો તરી ન જાય	ભગવાન કે મોટા પુરુષને છેતરવા નહિ તે
આતતાયી કર્મ	ઘાતકી કર્મ
આતસ	અગ્નિ
આત્મનિવેદી	બધું જ ભગવાનને અર્પણ કરીને ગ્રહણ કરનાર
આત્મબુદ્ધિ	પોતપોતાની બુદ્ધિ
આત્મસત્તારૂપે	દેહભાવ દબાવીને વર્તે
આત્મારામ	આત્માપણે જ વર્તવું, આત્માના સુખમાં રમનારો
આત્યંતિક કલ્યાણ	ઉત્તમ મોક્ષગતિ
આત્યંતિક પ્રલય	અનંતકોટિ બ્રહ્માડોનો એક સાથે નાશ થાય છે અને પ્રકૃતિની કાર્ય પ્રકૃતિમાં લીન પામે છે.
આની પા	આ બાજુ
આનીકોર	આ બાજુ
આપત્‌ધર્મ	દેશકાળનો ધર્મ
આફવડું	સહજ, પોતાની મેળે
આભલું	અરીસો, દર્પણ
આરતવાન	પીડિત, દુ:ખી
આરીયું	નાની કરવત, વિષય ખંડન કરનારમાં મન અટકે ત્યારે મુંજવણને કાપનાર, વિષયનું ખંડન કરનારો
 આરો 	કિનારો, અંત
આર્તવાન	પીડિત, દુ:ખી
આવરણ	મુશ્કેલી, વિઘ્ન
આવાદાની	જન્મ-મરણની ગતિ
આસક્તિ	વાસના, ઈચ્છા
આસુરી સંજ્ઞા	અધર્મ સર્ગ
આસ્તા	આસ્થા, વિશ્વાસ, પ્રતીતિ
આળસી જાય	મટી જવું
આળોટ્યા	જમીન પર આમતેમ સુવું
 આંક 	માપ 
આંકડા ભીડયા	એકબીજા સાથે મજબુત સંબંધ કર્યો
તૂરની	આકંડાનું સુકાઈ ગયેલ બી જે તૂટતા જ હવામાં ઉડી જાય, નાશવંત
આંકતણાં	આંકડા નામનો છોડ
આંકોલીયુ	આંકડા નામના વૃક્ષનું ફળ
આંટી	વેર, શત્રુતા
આંટુકદાર	નિશાનબાજ
આંધળી ભેંસે મોઢું ભાળ્યુ	આંધળાને પણ જમવાનું મોઢામાં જ જાય એવી દેહમાં આસક્તિ છે
આંબા આંબલી બતાવે	સ્થૂળ સંપતિ બતાવે
ઇચ્છાશક્તિ	જીવપ્રાણી માત્રને ઈચ્છા કરવાની શક્તિ આપનાર
ઇડા	પ્રાણવાહક નાળી, ડાબા નસકોરામાંથી નીકળતો વાયુ ઈડાનાળીનો છે
ઇન્દ્રામણા	ઝેરી ફળનું નામ છે
ઇલ્કાબ	પદવી
ઈ માંયલું	એમાંનું એક
